name,namewithlink,snippet,thumbnail,lng,lat,address
Chewy (2008),"<a href=""http://appalachiantrailhistory.org/items/show/654"" target=""_blank""  class=""view-item"">Chewy (2008)</a>","Chewy, at the Virginia/Tennessee border, just south of Damascus, Virginia. ","<a href=""/items/show/654"" class=""view-item""><img src=""http://appalachiantrailhistory.org/files/thumbnails/99d4f5bfa110bd2da1337fb2f8c536c2.jpg"" alt=""Chewy2008.jpg"" title=""Chewy2008.jpg""></a>",-81.82488274,36.61441874,
Trail Sign (2016),"<a href=""http://appalachiantrailhistory.org/items/show/657"" target=""_blank"" class=""view-item"">Trail Sign (2016)</a>","A sign marking the Appalachian Trail at a road crossing near Bobblet's Gap in Central Virginia, August 4, 2016.","<a href=""/items/show/657"" class=""view-item""><img src=""http://appalachiantrailhistory.org/files/thumbnails/746cb504e7fa46bf39126fbb364881bc.jpg"" alt=""AT Sign 2016.jpg"" title=""AT Sign 2016.jpg""></a>",-79.69916027,37.46800443,
RATC Hike to Potts Mountain (1939),"<a href=""http://appalachiantrailhistory.org/items/show/661"" target=""_blank""  class=""view-item"">RATC Hike to Potts Mountain (1939)</a>",Members of the Roanoke Appalachian Trail Club on Potts Mountain in Central Virginia during the fall of 1939. Day hikes like this one were a central...,"<a href=""/items/show/661"" class=""view-item""><img src=""http://appalachiantrailhistory.org/files/thumbnails/cbbd2042f9e5e5e86e0fb0e6ebb49618.jpg"" alt=""Potts Mountain Hike.jpg"" title=""Potts Mountain Hike.jpg""></a>",-80.15300776,37.45010066,
Abingdon Gap Shelter (1960),"<a href=""http://appalachiantrailhistory.org/items/show/662"" target=""_blank""  class=""view-item"">Abingdon Gap Shelter (1960)</a>","The Abingdon Gap Shelter is the last shelter northbound hikers encounter before entering Virginia, or the first that southbound hikers encounter when..","<a href=""/items/show/662"" class=""view-item""><img src=""http://appalachiantrailhistory.org/files/thumbnails/403bdcdb8bfd4a8599534bb33f8825a1.jpg"" alt=""Abingdon Gap Lean-to 1960.jpg"" title=""Abingdon Gap Lean-to 1960.jpg""></a>",-81.90188,36.58094,"36.58094,-81.90188"
Trimpi Shelter (1990),"<a href=""http://appalachiantrailhistory.org/items/show/685"" target=""_blank""  class=""view-item"">Trimpi Shelter (1990)</a>",The Trimpi Shelter is a stone shelter built in 1975 and located in Southern Virginia just north of Troutville. This shelter is maintained by the Mt.,"<a href=""/items/show/685"" class=""view-item""><img src=""http://appalachiantrailhistory.org/files/thumbnails/f224e284ddcf761ff9984cf43ff51e87.jpg"" alt=""RATC050 1.jpeg"" title=""RATC050 1.jpeg""></a>",-81.48041,36.74939,"36.74939,-81.48041"
Pickle Branch Shelter (2008),"<a href=""http://appalachiantrailhistory.org/items/show/686"" target=""_blank""  class=""view-item"">Pickle Branch Shelter (2008)</a>",The Pickle Branch Shelter is a typical example of the U.S. Forest Service's plank sided lean-to. This shelter was built in 1980 by volunteers from the...,"<a href=""/items/show/686"" class=""view-item""><img src=""http://appalachiantrailhistory.org/files/thumbnails/83e1dbdfe11b3b0bbc3e6f28d773c95a.jpg"" alt=""Pickle Branch Shelter 2008.jpg"" title=""Pickle Branch Shelter 2008.jpg""></a>",-80.1846,37.38015,"37.38015,-80.1846"
"Southern Virginia, Central Section (1940)","<a href=""http://appalachiantrailhistory.org/items/show/693"" target=""_blank""  class=""view-item"">Southern Virginia, Central Section (1940)</a>","This map depicts the Appalachian Trail between Roanoke and Fries, Virginia in 1940, including the legendary stretch over the Pinnacles of Dan. This...","<a href=""/items/show/693"" class=""view-item""><img src=""http://appalachiantrailhistory.org/files/thumbnails/2bc6c22896fc9409d2ee09abbce8a595.jpg"" alt=""PATC Map 13 1940.jpeg"" title=""PATC Map 13 1940.jpeg""></a>",-80.4386739,36.6740253,Pinnacles of Dan
"Southern Virginia, Southern Section (1941)","<a href=""http://appalachiantrailhistory.org/items/show/694"" target=""_blank""  class=""view-item"">Southern Virginia, Southern Section (1941)</a>","This map depicts the Appalachian Trail between Fries and Damascus, Virginia in 1941, including the crossing of the New River at Dixon's Ferry. This...","<a href=""/items/show/694"" class=""view-item""><img src=""http://appalachiantrailhistory.org/files/thumbnails/0c52f82931c0297df7a5923ad9470879.jpg"" alt=""PATC Map 14 1941.jpeg"" title=""PATC Map 14 1941.jpeg""></a>",-81.44152421,36.702192,"Troutdale, Virginia"
A.T. Pinnacles of Dan (1932),"<a href=""http://appalachiantrailhistory.org/items/show/731"" target=""_blank""  class=""view-item"">A.T. Pinnacles of Dan (1932)</a>","The original route of the Appalachian Trail in Virginia crossed the Pinnacles of Dan, a hike described by hikers at the time as second only to Mt. ...","<a href=""/items/show/731"" class=""view-item""><img src=""http://appalachiantrailhistory.org/files/thumbnails/3f54a5e9378821bd10293bea3057c26a.jpg"" alt=""IMG_20181130_135928.jpg"" title=""IMG_20181130_135928.jpg""></a>",-80.4386739,36.6740253,Pinnacles of Dan
2018 Warrior Expedition Thru Hikers at McAfee Knob,"<a href=""http://appalachiantrailhistory.org/items/show/732"" target=""_blank""  class=""view-item"">2018 Warrior Expeditions Thru-Hikers</a>",2018 Warrior Expedition Thru Hikers at McAfee Knob,"<a href=""/items/show/778"" class=""view-item""><img src=""http://appalachiantrailhistory.org/files/thumbnails/0db860cd0d37098f323711d7af45cc2c.jpg"" alt=""macafees knob.jpg"" title=""macafees knob.jpg""></a>",-80.0367095,37.3929102,mcafee knob
